freq_hz,s11_db
2.200000000000000000e+10,-5.582090382369160331e-01
2.200666666666666794e+10,-5.643212410060824968e-01
2.201333333333333206e+10,-5.691602825395659648e-01
2.202000000000000000e+10,-5.726181148852522718e-01
2.202666666666666794e+10,-5.746627241205042314e-01
2.203333333333333206e+10,-5.753414162869955328e-01
2.204000000000000000e+10,-5.747793909549366864e-01
2.204666666666666794e+10,-5.731732916230437569e-01
2.205333333333333206e+10,-5.707798819725896644e-01
2.206000000000000000e+10,-5.679005090947513157e-01
2.206666666666666794e+10,-5.648624909083451717e-01
2.207333333333333206e+10,-5.619989152498177098e-01
2.208000000000000000e+10,-5.596284948535273918e-01
2.208666666666666794e+10,-5.580370585822612695e-01
2.209333333333333206e+10,-5.574619950644065236e-01
2.210000000000000000e+10,-5.580805607544816471e-01
2.210666666666666794e+10,-5.600025028667522387e-01
2.211333333333333206e+10,-5.632670111770767818e-01
2.212000000000000000e+10,-5.678436651255165390e-01
2.212666666666666794e+10,-5.736368182515758640e-01
2.213333333333333206e+10,-5.804927643380153324e-01
2.214000000000000000e+10,-5.882090375077942968e-01
2.214666666666666794e+10,-5.965452757767366609e-01
2.215333333333333206e+10,-6.052351831636766377e-01
2.216000000000000000e+10,-6.139992216420735449e-01
2.216666666666666794e+10,-6.225577221445430798e-01
2.217333333333333206e+10,-6.306441067875687700e-01
2.218000000000000000e+10,-6.380178596553232051e-01
2.218666666666666794e+10,-6.444767823823521757e-01
2.219333333333333206e+10,-6.498679485752013596e-01
2.220000000000000000e+10,-6.540966638695069335e-01
2.220666666666666794e+10,-6.571326877177772197e-01
2.221333333333333206e+10,-6.590130175586688122e-01
2.222000000000000000e+10,-6.598407011786898702e-01
2.222666666666666794e+10,-6.597794309890790965e-01
2.223333333333333206e+10,-6.590440573325168083e-01
2.224000000000000000e+10,-6.578875818364589012e-01
2.224666666666666794e+10,-6.565855833658709173e-01
2.225333333333333206e+10,-6.554193151162207576e-01
2.226000000000000000e+10,-6.546588372431985103e-01
2.226666666666666794e+10,-6.545474940566432531e-01
2.227333333333333206e+10,-6.552888256751253637e-01
2.228000000000000000e+10,-6.570366709608044253e-01
2.228666666666666794e+10,-6.598888390429274997e-01
2.229333333333333206e+10,-6.638843679293511268e-01
2.230000000000000000e+10,-6.690041024448387663e-01
2.230666666666666794e+10,-6.751741378682707406e-01
2.231333333333333206e+10,-6.822715931431870828e-01
2.232000000000000000e+10,-6.901321813361007695e-01
2.232666666666666794e+10,-6.985591059217265419e-01
2.233333333333333206e+10,-7.073328962278101484e-01
2.234000000000000000e+10,-7.162218733560631323e-01
2.234666666666666794e+10,-7.249929856099089909e-01
2.235333333333333206e+10,-7.334227562217076057e-01
2.236000000000000000e+10,-7.413080435465930762e-01
2.236666666666666794e+10,-7.484762340289383697e-01
2.237333333333333206e+10,-7.547943912411220202e-01
2.238000000000000000e+10,-7.601767990399167507e-01
2.238666666666666794e+10,-7.645902965396158546e-01
2.239333333333333206e+10,-7.680568379991575823e-01
2.240000000000000000e+10,-7.706528420472036345e-01
2.240666666666666794e+10,-7.725051235716108300e-01
2.241333333333333206e+10,-7.737835066492321223e-01
2.242000000000000000e+10,-7.746905546416139599e-01
2.242666666666666794e+10,-7.754491667045215753e-01
2.243333333333333206e+10,-7.762890206582568897e-01
2.244000000000000000e+10,-7.774329472473515690e-01
2.244666666666666794e+10,-7.790842830990072354e-01
2.245333333333333206e+10,-7.814160822111184679e-01
2.246000000000000000e+10,-7.845628068909644703e-01
2.246666666666666794e+10,-7.886148212169140637e-01
2.247333333333333206e+10,-7.936157259536537056e-01
2.248000000000000000e+10,-7.995623444737510743e-01
2.248666666666666794e+10,-8.064070173408226516e-01
2.249333333333333206e+10,-8.140617922093014158e-01
2.250000000000000000e+10,-8.224040932394189873e-01
2.250666666666666794e+10,-8.312834982568816367e-01
2.251333333333333206e+10,-8.405293167766997309e-01
2.252000000000000000e+10,-8.499587238133486933e-01
2.252666666666666794e+10,-8.593852443528533502e-01
2.253333333333333206e+10,-8.686273901291062804e-01
2.254000000000000000e+10,-8.775172211008969159e-01
2.254666666666666794e+10,-8.859085448728970524e-01
2.255333333333333206e+10,-8.936843928485805888e-01
2.256000000000000000e+10,-9.007633436508635238e-01
2.256666666666666794e+10,-9.071042274615570555e-01
2.257333333333333206e+10,-9.127087632844479437e-01
2.258000000000000000e+10,-9.176217710987467635e-01
2.258666666666666794e+10,-9.219287653041686736e-01
2.259333333333333206e+10,-9.257509604720481899e-01
2.260000000000000000e+10,-9.292379742331258186e-01
2.260666666666666794e+10,-9.325587530506831424e-01
2.261333333333333206e+10,-9.358914312530117741e-01
2.262000000000000000e+10,-9.394129282573207007e-01
2.262666666666666794e+10,-9.432890782578329247e-01
2.263333333333333206e+10,-9.476659775906925987e-01
2.264000000000000000e+10,-9.526630536453819520e-01
2.264666666666666794e+10,-9.583681430354841213e-01
2.265333333333333206e+10,-9.648346546696572323e-01
2.266000000000000000e+10,-9.720807169087253286e-01
2.266666666666666794e+10,-9.800900859325629710e-01
2.267333333333333206e+10,-9.888145295889774200e-01
2.268000000000000000e+10,-9.981773903509079116e-01
2.268666666666666794e+10,-1.008078057776607306e+00
2.269333333333333206e+10,-1.018397126897995886e+00
2.270000000000000000e+10,-1.029002066536973681e+00
2.270666666666666794e+10,-1.039753256040187646e+00
2.271333333333333206e+10,-1.050510260575420851e+00
2.272000000000000000e+10,-1.061138200030024459e+00
2.272666666666666794e+10,-1.071514027057595353e+00
2.273333333333333206e+10,-1.081532474596424764e+00
2.274000000000000000e+10,-1.091111376310592185e+00
