freq_hz,s11_db
2.200000000000000000e+10,-5.266758579729476919e-01
2.200666666666666794e+10,-5.205960144266530421e-01
2.201333333333333206e+10,-5.157511365714715357e-01
2.202000000000000000e+10,-5.126716403776311326e-01
2.202666666666666794e+10,-5.117550370062092790e-01
2.203333333333333206e+10,-5.132411608400566649e-01
2.204000000000000000e+10,-5.171993908387053640e-01
2.204666666666666794e+10,-5.235277910554607672e-01
2.205333333333333206e+10,-5.319633652527107071e-01
2.206000000000000000e+10,-5.421021556480160042e-01
2.206666666666666794e+10,-5.534276564752806937e-01
2.207333333333333206e+10,-5.653458625026345219e-01
2.208000000000000000e+10,-5.772251316837685442e-01
2.208666666666666794e+10,-5.884388386673423676e-01
2.209333333333333206e+10,-5.984085116269642901e-01
2.210000000000000000e+10,-6.066448201837761900e-01
2.210666666666666794e+10,-6.127835158568244456e-01
2.211333333333333206e+10,-6.166133530518941308e-01
2.212000000000000000e+10,-6.180932708948083665e-01
2.212666666666666794e+10,-6.173567790055511928e-01
2.213333333333333206e+10,-6.147025593974884128e-01
2.214000000000000000e+10,-6.105716591117004155e-01
2.214666666666666794e+10,-6.055130963016899237e-01
2.215333333333333206e+10,-6.001409818212476432e-01
2.216000000000000000e+10,-5.950871358919973542e-01
2.216666666666666794e+10,-5.909535081420916880e-01
2.217333333333333206e+10,-5.882684657804568840e-01
2.218000000000000000e+10,-5.874502973935339378e-01
2.218666666666666794e+10,-5.887802715217618221e-01
2.219333333333333206e+10,-5.923864997945981203e-01
2.220000000000000000e+10,-5.982388655886475837e-01
2.220666666666666794e+10,-6.061545063395132882e-01
2.221333333333333206e+10,-6.158128168350872622e-01
2.222000000000000000e+10,-6.267786381458290146e-01
2.222666666666666794e+10,-6.385321330927289374e-01
2.223333333333333206e+10,-6.505037303560458062e-01
2.224000000000000000e+10,-6.621123669902833075e-01
2.224666666666666794e+10,-6.728050337069512166e-01
2.225333333333333206e+10,-6.820953431356115981e-01
2.226000000000000000e+10,-6.895985680370398940e-01
2.226666666666666794e+10,-6.950604460545231067e-01
2.227333333333333206e+10,-6.983771456424169299e-01
2.228000000000000000e+10,-6.996042338274445216e-01
2.228666666666666794e+10,-6.989533133635636997e-01
2.229333333333333206e+10,-6.967761433008254901e-01
2.230000000000000000e+10,-6.935373668907175437e-01
2.230666666666666794e+10,-6.897782242106044182e-01
2.231333333333333206e+10,-6.860745966692805009e-01
2.232000000000000000e+10,-6.829932446947788449e-01
2.232666666666666794e+10,-6.810500883723060728e-01
2.233333333333333206e+10,-6.806738893987031025e-01
2.234000000000000000e+10,-6.821778614796069062e-01
2.234666666666666794e+10,-6.857407526732559599e-01
2.235333333333333206e+10,-6.913979886507154449e-01
2.236000000000000000e+10,-6.990426733206644982e-01
2.236666666666666794e+10,-7.084356755099472380e-01
2.237333333333333206e+10,-7.192236807463481263e-01
2.238000000000000000e+10,-7.309638974654754096e-01
2.238666666666666794e+10,-7.431539938812002921e-01
2.239333333333333206e+10,-7.552657252615866401e-01
2.240000000000000000e+10,-7.667805388029419467e-01
2.240666666666666794e+10,-7.772252062341382661e-01
2.241333333333333206e+10,-7.862052750575312388e-01
2.242000000000000000e+10,-7.934339348009797899e-01
2.242666666666666794e+10,-7.987538761854879876e-01
2.243333333333333206e+10,-8.021499824303757187e-01
2.244000000000000000e+10,-8.037512918071310075e-01
2.244666666666666794e+10,-8.038215916197278821e-01
2.245333333333333206e+10,-8.027391406872176338e-01
2.246000000000000000e+10,-8.009671922359122842e-01
2.246666666666666794e+10,-7.990179939932872122e-01
2.247333333333333206e+10,-7.974135951968818192e-01
2.248000000000000000e+10,-7.966469854558457797e-01
2.248666666666666794e+10,-7.971468247880433289e-01
2.249333333333333206e+10,-7.992483910691292603e-01
2.250000000000000000e+10,-8.031725263878597421e-01
2.250666666666666794e+10,-8.090134782448339390e-01
2.251333333333333206e+10,-8.167357468383640295e-01
2.252000000000000000e+10,-8.261794503532783329e-01
2.252666666666666794e+10,-8.370733258580548286e-01
2.253333333333333206e+10,-8.490542592759970919e-01
2.254000000000000000e+10,-8.616921159175144895e-01
2.254666666666666794e+10,-8.745185474560881467e-01
2.255333333333333206e+10,-8.870583220280175984e-01
2.256000000000000000e+10,-8.988615352746852638e-01
2.256666666666666794e+10,-9.095348294034308889e-01
2.257333333333333206e+10,-9.187695359186840438e-01
