freq_hz,s11_db
2.200000000000000000e+10,-5.374099975936104112e-01
2.200666666666666794e+10,-5.441831682569993056e-01
2.201333333333333206e+10,-5.504124135777761495e-01
2.202000000000000000e+10,-5.558450883881972393e-01
2.202666666666666794e+10,-5.602876800093450349e-01
2.203333333333333206e+10,-5.636216801686950717e-01
2.204000000000000000e+10,-5.658136414188342789e-01
2.204666666666666794e+10,-5.669181425522952233e-01
2.205333333333333206e+10,-5.670731838283602499e-01
2.206000000000000000e+10,-5.664884578645520419e-01
2.206666666666666794e+10,-5.654278057098803822e-01
2.207333333333333206e+10,-5.641877936653948433e-01
2.208000000000000000e+10,-5.630746265462178712e-01
2.208666666666666794e+10,-5.623815347671298204e-01
2.209333333333333206e+10,-5.623684117574091479e-01
2.210000000000000000e+10,-5.632449638863653574e-01
2.210666666666666794e+10,-5.651581040487108076e-01
2.211333333333333206e+10,-5.681838784294729328e-01
2.212000000000000000e+10,-5.723239186506750009e-01
2.212666666666666794e+10,-5.775062600057864204e-01
2.213333333333333206e+10,-5.835903203048166121e-01
2.214000000000000000e+10,-5.903758279816933019e-01
2.214666666666666794e+10,-5.976154523197542145e-01
2.215333333333333206e+10,-6.050307654442956817e-01
2.216000000000000000e+10,-6.123309262936371677e-01
2.216666666666666794e+10,-6.192331331392002536e-01
2.217333333333333206e+10,-6.254835011142073631e-01
2.218000000000000000e+10,-6.308766815040520726e-01
2.218666666666666794e+10,-6.352723647996904033e-01
2.219333333333333206e+10,-6.386068980887651403e-01
2.220000000000000000e+10,-6.408986440844028909e-01
2.220666666666666794e+10,-6.422463794436216178e-01
2.221333333333333206e+10,-6.428208593763189427e-01
2.222000000000000000e+10,-6.428504981783929040e-01
2.222666666666666794e+10,-6.426027644139695738e-01
2.223333333333333206e+10,-6.423632478987767458e-01
2.224000000000000000e+10,-6.424143880305038801e-01
2.224666666666666794e+10,-6.430156067308177015e-01
2.225333333333333206e+10,-6.443861690663308384e-01
2.226000000000000000e+10,-6.466916231414994165e-01
2.226666666666666794e+10,-6.500342522544201307e-01
2.227333333333333206e+10,-6.544476692553581332e-01
2.228000000000000000e+10,-6.598955102413667229e-01
2.228666666666666794e+10,-6.662741157570037931e-01
2.229333333333333206e+10,-6.734190690134983504e-01
2.230000000000000000e+10,-6.811154288069064533e-01
2.230666666666666794e+10,-6.891113929768915014e-01
2.231333333333333206e+10,-6.971349218937618053e-01
2.232000000000000000e+10,-7.049125410211429799e-01
2.232666666666666794e+10,-7.121891694833275555e-01
2.233333333333333206e+10,-7.187474691866819754e-01
2.234000000000000000e+10,-7.244249807813184505e-01
2.234666666666666794e+10,-7.291273071084437563e-01
2.235333333333333206e+10,-7.328358799147494107e-01
2.236000000000000000e+10,-7.356093917912573943e-01
2.236666666666666794e+10,-7.375787073499411317e-01
2.237333333333333206e+10,-7.389358443671700805e-01
2.238000000000000000e+10,-7.399182810618810668e-01
2.238666666666666794e+10,-7.407902763491820419e-01
2.239333333333333206e+10,-7.418230295457718393e-01
2.240000000000000000e+10,-7.432753747700927560e-01
2.240666666666666794e+10,-7.453763831116144711e-01
2.241333333333333206e+10,-7.483108398705561326e-01
2.242000000000000000e+10,-7.522081752117764086e-01
2.242666666666666794e+10,-7.571351233851169038e-01
2.243333333333333206e+10,-7.630921951984148688e-01
2.244000000000000000e+10,-7.700139579982389071e-01
2.244666666666666794e+10,-7.777730851621833530e-01
2.245333333333333206e+10,-7.861881067217614261e-01
2.246000000000000000e+10,-7.950347086364523141e-01
2.246666666666666794e+10,-8.040602510191280361e-01
2.247333333333333206e+10,-8.130008950158376102e-01
2.248000000000000000e+10,-8.216003719485232004e-01
2.248666666666666794e+10,-8.296290633601477449e-01
2.249333333333333206e+10,-8.369017809091141569e-01
2.250000000000000000e+10,-8.432925384454506013e-01
2.250666666666666794e+10,-8.487447650681295697e-01
2.251333333333333206e+10,-8.532758308113336243e-01
2.252000000000000000e+10,-8.569753891228503173e-01
2.252666666666666794e+10,-8.599977659744368896e-01
2.253333333333333206e+10,-8.625493007194330319e-01
2.254000000000000000e+10,-8.648720410856796104e-01
2.254666666666666794e+10,-8.672254389015864318e-01
2.255333333333333206e+10,-8.698676781047722795e-01
2.256000000000000000e+10,-8.730380471769226824e-01
2.256666666666666794e+10,-8.769414348889821298e-01
2.257333333333333206e+10,-8.817356760800625359e-01
2.258000000000000000e+10,-8.875221768086758445e-01
2.258666666666666794e+10,-8.943400438467639102e-01
2.259333333333333206e+10,-9.021638328989882716e-01
2.260000000000000000e+10,-9.109049831977771294e-01
2.260666666666666794e+10,-9.204169744770387407e-01
2.261333333333333206e+10,-9.305041723292906131e-01
2.262000000000000000e+10,-9.409341759099822955e-01
2.262666666666666794e+10,-9.514532278637768403e-01
2.263333333333333206e+10,-9.618039043299395630e-01
2.264000000000000000e+10,-9.717439252646726811e-01
2.264666666666666794e+10,-9.810645958993381432e-01
2.265333333333333206e+10,-9.896072052313102940e-01
2.266000000000000000e+10,-9.972757473263962336e-01
2.266666666666666794e+10,-1.004044630729929555e+00
2.267333333333333206e+10,-1.009960571218112335e+00
2.268000000000000000e+10,-1.015138532020813944e+00
2.268666666666666794e+10,-1.019752253955022558e+00
2.269333333333333206e+10,-1.024020476201803698e+00
2.270000000000000000e+10,-1.028190294959560935e+00
2.270666666666666794e+10,-1.032519210283468158e+00
2.271333333333333206e+10,-1.037257300438891638e+00
2.272000000000000000e+10,-1.042630710240145753e+00
2.272666666666666794e+10,-1.048827332581782956e+00
2.273333333333333206e+10,-1.055985277420476542e+00
2.274000000000000000e+10,-1.064184508350467517e+00
2.274666666666666794e+10,-1.073441897558659042e+00
2.275333333333333206e+10,-1.083709887592485321e+00
2.276000000000000000e+10,-1.094878912539203553e+00
2.276666666666666794e+10,-1.106783671279285564e+00
2.277333333333333206e+10,-1.119213214474761520e+00
2.278000000000000000e+10,-1.131924575926448240e+00
2.278666666666666794e+10,-1.144659349082972621e+00
2.279333333333333206e+10,-1.157162219196611552e+00
2.280000000000000000e+10,-1.169200084193848577e+00
2.280666666666666794e+10,-1.180580126551022735e+00
2.281333333333333206e+10,-1.191165123402771586e+00
2.282000000000000000e+10,-1.200884457523041737e+00
2.282666666666666794e+10,-1.209739715132422511e+00
2.283333333333333206e+10,-1.217804361734698082e+00
2.284000000000000000e+10,-1.225217660710931078e+00
2.284666666666666794e+10,-1.232173612495829351e+00
2.285333333333333206e+10,-1.238906138573892868e+00
2.286000000000000000e+10,-1.245671958251976186e+00
2.286666666666666794e+10,-1.252732610480921327e+00
2.287333333333333206e+10,-1.260336909911048409e+00
2.288000000000000000e+10,-1.268704873661232524e+00
2.288666666666666794e+10,-1.278013890656719109e+00
2.289333333333333206e+10,-1.288387686435589874e+00
2.290000000000000000e+10,-1.299888489773739497e+00
2.290666666666666794e+10,-1.312512728097158465e+00
2.291333333333333206e+10,-1.326190535073429988e+00
2.292000000000000000e+10,-1.340789299206958773e+00
2.292666666666666794e+10,-1.356121367578533077e+00
2.293333333333333206e+10,-1.371955807256315829e+00
2.294000000000000000e+10,-1.388033807426390931e+00
2.294666666666666794e+10,-1.404086902853383112e+00
2.295333333333333206e+10,-1.419856776241500418e+00
2.296000000000000000e+10,-1.435115043510141852e+00
2.296666666666666794e+10,-1.449681237815277912e+00
2.297333333333333206e+10,-1.463437258204669744e+00
2.298000000000000000e+10,-1.476336860113422800e+00
2.298666666666666794e+10,-1.488409297688468858e+00
2.299333333333333206e+10,-1.499756886564447278e+00
2.300000000000000000e+10,-1.510546915406958401e+00
2.300666666666666794e+10,-1.520998877357710999e+00
2.301333333333333206e+10,-1.531368339469087569e+00
2.302000000000000000e+10,-1.541928895909830954e+00
2.302666666666666794e+10,-1.552953588965852560e+00
2.303333333333333206e+10,-1.564696995770556320e+00
2.304000000000000000e+10,-1.577378944451449660e+00
2.304666666666666794e+10,-1.591170605901781165e+00
2.305333333333333206e+10,-1.606183545694366721e+00
2.306000000000000000e+10,-1.622462222441805935e+00
2.306666666666666794e+10,-1.639980363016567688e+00
2.307333333333333206e+10,-1.658641589943339101e+00
2.308000000000000000e+10,-1.678284572252931817e+00
2.308666666666666794e+10,-1.698692774886506607e+00
2.309333333333333206e+10,-1.719608571459500856e+00
2.310000000000000000e+10,-1.740751072573933911e+00
2.310666666666666794e+10,-1.761836557742246567e+00
2.311333333333333206e+10,-1.782599967864385349e+00
2.312000000000000000e+10,-1.802815617241788848e+00
2.312666666666666794e+10,-1.822315207576875595e+00
2.313333333333333206e+10,-1.841001418648675170e+00
2.314000000000000000e+10,-1.858855798252810887e+00
2.314666666666666794e+10,-1.875940303043104329e+00
2.315333333333333206e+10,-1.892392535360122086e+00
2.316000000000000000e+10,-1.908415353457912467e+00
2.316666666666666794e+10,-1.924262003948541189e+00
2.317333333333333206e+10,-1.940218185509934523e+00
2.318000000000000000e+10,-1.956582506858155490e+00
2.318666666666666794e+10,-1.973646698426926527e+00
2.319333333333333206e+10,-1.991676747063423125e+00
2.320000000000000000e+10,-2.010895916009634021e+00
2.320666666666666794e+10,-2.031470438756583619e+00
2.321333333333333206e+10,-2.053498556110602724e+00
2.322000000000000000e+10,-2.077003491515388323e+00
2.322666666666666794e+10,-2.101930896283942918e+00
2.323333333333333206e+10,-2.128151195986021982e+00
2.324000000000000000e+10,-2.155467084391819999e+00
2.324666666666666794e+10,-2.183626110810142684e+00
2.325333333333333206e+10,-2.212337889454599971e+00
2.326000000000000000e+10,-2.241294963736994106e+00
2.326666666666666794e+10,-2.270195860178371827e+00
2.327333333333333206e+10,-2.298768466187286919e+00
2.328000000000000000e+10,-2.326791662877344180e+00
2.328666666666666794e+10,-2.354113207480103220e+00
2.329333333333333206e+10,-2.380662204090723488e+00
2.330000000000000000e+10,-2.406455076875002597e+00
2.330666666666666794e+10,-2.431594664205106948e+00
2.331333333333333206e+10,-2.456262758686460046e+00
2.332000000000000000e+10,-2.480707010349259445e+00
2.332666666666666794e+10,-2.505223511772388001e+00
2.333333333333333206e+10,-2.530136571599270745e+00
2.334000000000000000e+10,-2.555777183856244861e+00
2.334666666666666794e+10,-2.582461574687366479e+00
2.335333333333333206e+10,-2.610471025674852008e+00
2.336000000000000000e+10,-2.640033993157029801e+00
2.336666666666666794e+10,-2.671311400570031580e+00
2.337333333333333206e+10,-2.704385880297683453e+00
2.338000000000000000e+10,-2.739255659644451057e+00
2.338666666666666794e+10,-2.775833680271050596e+00
2.339333333333333206e+10,-2.813952363887723518e+00
2.340000000000000000e+10,-2.853374151170471329e+00
2.340666666666666794e+10,-2.893807532775132696e+00
2.341333333333333206e+10,-2.934927784289155461e+00
2.342000000000000000e+10,-2.976401073573551770e+00
2.342666666666666794e+10,-3.017910122504953385e+00
2.343333333333333206e+10,-3.059179279305394239e+00
2.344000000000000000e+10,-3.099996778576712408e+00
2.344666666666666794e+10,-3.140232175516466828e+00
2.345333333333333206e+10,-3.179847419655443375e+00
2.346000000000000000e+10,-3.218900703916532713e+00
2.346666666666666794e+10,-3.257542969991742421e+00
