Qty,MPN,Manufacturer,Description,Assembly
1,FFSD-15-D-03.00-01-N,Samtec,"3 inch keyed 2x15 1.27 mm straight-through RF/ADC cable",Install after PCB assembly
4,N/A,Customer selected,"M2.5 16 mm nonconductive or plated standoffs with matching screws",Install between ADC board and Raspberry Pi
